Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
2264,-81.7765,30.304,9199.0,3.0,2.0,2019.0,180.0,32221.0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1068,-82.4806,28.04752,7952.0,2.0,1.0,1957.0,180.0,33612.0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1886,-81.44306,28.605408,8389.0,3.0,2.0,1982.0,180.0,32808.0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1684,-81.15992,28.547852,7053.0,3.0,2.0,2002.0,180.0,32828.0,47,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
976,-76.526276,39.359898,5400.0,3.0,1.0,1931.0,125.0,21206.0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
975,-81.72508,30.414808,8267.0,3.0,1.5,1961.0,127.0,32208.0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1876,-81.5131,30.3777,11761.2,3.0,2.0,2019.0,180.0,32225.0,111,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1018,-81.42718,28.52536,6760.0,2.0,1.0,1956.0,180.0,32811.0,114,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2400,-82.46983,27.977411,7800.0,4.0,4.0,1948.0,80.0,33603.0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5919,-104.66709,39.598423,6969.0,4.0,3.0,2018.0,180.0,80016.0,131,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1493,-81.78781,30.27193,13068.0,3.0,2.0,1985.0,64.0,32210.0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2100,-84.3625,33.803127,17424.0,3.0,3.0,1939.0,48.0,30324.0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1102,-81.63988,30.386765,10250.0,3.0,1.0,1954.0,83.0,32208.0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3756,-104.95382,39.696728,6250.0,5.0,6.0,1940.0,147.0,80209.0,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1023,-76.60016,39.30278,1023.0,3.0,1.0,1982.0,92.0,21202.0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2457,-81.64487,30.523703,15681.6,4.0,3.0,2008.0,78.0,32218.0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1052,-84.39878,33.73795,3241.0,3.0,1.0,1930.0,132.0,30312.0,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3743,-81.8045,30.297573,27442.0,4.0,3.5,2006.0,44.0,32221.0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1627,-81.61819,30.197664,5129.0,3.0,3.0,1986.0,33.0,32257.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1342,-82.524,27.907135,7280.0,3.0,2.0,1956.0,25.0,33611.0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1620,-81.29187,28.568556,9715.0,3.0,2.0,1972.0,64.0,32807.0,63,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4508,-81.23211,28.36841,13939.2,5.0,5.0,2018.0,115.0,32832.0,116,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1534,-81.49046,30.524754,92347.2,3.0,2.0,1993.0,58.0,32226.0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2800,-118.32311,34.11709,3546.0,4.0,5.0,1926.0,38.0,90068.0,43,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1500,-118.19331,34.04419,4082.0,3.0,2.0,1922.0,180.0,90063.0,185,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2042,-85.14962,41.09579,6450.0,3.0,2.0,1930.0,45.0,46808.0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1882,-81.577866,30.15166,8230.0,4.0,2.0,2003.0,30.0,32258.0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2499,-81.75971,30.46184,20473.2,5.0,3.0,2018.0,100.0,32219.0,108,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2046,-85.292656,41.02923,12632.4,3.0,3.0,2005.0,69.0,46814.0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1040,-104.87467,39.725185,6534.0,3.0,1.0,1955.0,171.0,80010.0,171,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3384,-85.14841,41.199226,12196.8,4.0,4.0,2014.0,7.0,46845.0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2875,-82.55579,28.089264,8962.0,4.0,3.0,2000.0,169.0,33625.0,180,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1600,-84.45522,33.721985,21780.0,3.0,2.0,1945.0,180.0,30311.0,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1867,-81.501564,30.302803,8317.0,4.0,2.0,2003.0,40.0,32246.0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1326,-81.64053,30.338814,6113.0,5.0,2.0,1999.0,34.0,32206.0,48,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1104,-81.684784,30.40596,4614.0,3.0,1.0,1954.0,10.0,32208.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1808,-81.49535,30.362846,8393.0,3.0,2.0,1987.0,38.0,32225.0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
