State,Address,City,sale_price,sale_date,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,listing_date,Days on Market
fl,1226 adelena ln,jacksonville,347500,2019-04-05,2264,-81.7765,30.304,9199.0,3.0,2.0,2019.0,180.0,32221.0,2019-03-23,13
fl,2108 carroll pl,tampa,1300,2019-04-11,1068,-82.4806,28.04752,7952.0,2.0,1.0,1957.0,180.0,33612.0,2019-03-23,19
fl,4783 corpus christy ct,orlando,154100,2019-04-22,1886,-81.44306,28.605408,8389.0,3.0,2.0,1982.0,180.0,32808.0,2019-03-30,23
fl,884 crystal bay ln,orlando,10000,2019-05-09,1684,-81.15992,28.547852,7053.0,3.0,2.0,2002.0,180.0,32828.0,2019-03-23,47
md,7 w elm ave,baltimore,144400,2019-05-23,976,-76.526276,39.359898,5400.0,3.0,1.0,1931.0,125.0,21206.0,2019-05-17,6
fl,4915 arrowsmith rd,jacksonville,58300,2019-06-18,975,-81.72508,30.414808,8267.0,3.0,1.5,1961.0,127.0,32208.0,2019-05-15,34
fl,100 tanglewood trce,saint johns,0,2019-06-26,3912,-81.60225,30.093424,20908.8,5.0,5.0,2003.0,180.0,32259.0,2019-04-07,80
ca,5571 golf st,riverside,0,2019-07-09,3012,-117.46539,33.98675,11761.2,4.0,3.0,2019.0,123.0,92509.0,2019-05-19,51
fl,13723 hidden oaks ln,jacksonville,5527600,2019-07-12,1876,-81.5131,30.3777,11761.2,3.0,2.0,2019.0,180.0,32225.0,2019-03-23,111
fl,4057 booker st,orlando,100,2019-07-15,1018,-81.42718,28.52536,6760.0,2.0,1.0,1956.0,180.0,32811.0,2019-03-23,114
fl,801 w ohio ave,tampa,175000,2019-07-17,2400,-82.46983,27.977411,7800.0,4.0,4.0,1948.0,80.0,33603.0,2019-07-02,15
fl,1722 lighty ln,neptune beach,100,2019-07-21,2503,-81.40877,30.311861,23958.000000000004,4.0,3.0,1974.0,118.0,32266.0,2019-05-24,58
co,27470 e lakeview dr,aurora,785000,2019-08-01,5919,-104.66709,39.598423,6969.0,4.0,3.0,2018.0,180.0,80016.0,2019-03-23,131
fl,8247 yolanda ct,jacksonville,93000,2019-08-09,1493,-81.78781,30.27193,13068.0,3.0,2.0,1985.0,64.0,32210.0,2019-07-17,23
ga,743 wildwood pl ne,atlanta,625000,2019-08-09,2100,-84.3625,33.803127,17424.0,3.0,3.0,1939.0,48.0,30324.0,2019-08-02,7
co,4251 e 95th cir,thornton,0,2019-08-15,1701,-104.93847,39.869278,5576.0,3.0,2.0,2018.0,42.0,80229.0,2019-08-08,7
fl,731 kenilworth st,jacksonville,95000,2019-08-20,1102,-81.63988,30.386765,10250.0,3.0,1.0,1954.0,83.0,32208.0,2019-06-28,53
co,1095 s fillmore way,denver,1360000,2019-08-26,3756,-104.95382,39.696728,6250.0,5.0,6.0,1940.0,147.0,80209.0,2019-04-25,123
md,1037 n central ave,baltimore,57000,2019-08-28,1023,-76.60016,39.30278,1023.0,3.0,1.0,1982.0,92.0,21202.0,2019-06-19,70
ca,18742 cedargrove path,riverside,0,2019-08-28,2780,-117.365105,33.847576,87120.0,4.0,3.0,2000.0,37.0,92504.0,2019-08-14,14
fl,15824 dallas creek ct,jacksonville,198000,2019-08-30,2457,-81.64487,30.523703,15681.6,4.0,3.0,2008.0,78.0,32218.0,2019-07-03,58
az,62814 e silkwood way,saddlebrooke,290000,2019-09-01,1534,-110.89647,32.513382,8712.0,2.0,2.0,2016.0,73.0,85739.0,2019-07-08,55
ga,330 glenn st sw,atlanta,0,2019-09-05,1052,-84.39878,33.73795,3241.0,3.0,1.0,1930.0,132.0,30312.0,2019-05-10,118
fl,8920 hawkeye cir,jacksonville,100,2019-09-10,3743,-81.8045,30.297573,27442.0,4.0,3.5,2006.0,44.0,32221.0,2019-08-21,20
fl,184 clifton bay loop,saint johns,305000,2019-09-13,1889,-81.49096,30.079105,6019.0,3.0,3.0,2019.0,127.0,32259.0,2019-05-15,121
fl,9850 moorings dr,jacksonville,188000,2019-09-16,1627,-81.61819,30.197664,5129.0,3.0,3.0,1986.0,33.0,32257.0,2019-08-17,30
fl,4614 w bay court ave,tampa,226800,2019-09-17,1342,-82.524,27.907135,7280.0,3.0,2.0,1956.0,25.0,33611.0,2019-08-25,23
fl,7204 tiffany dr,orlando,100,2019-09-18,1620,-81.29187,28.568556,9715.0,3.0,2.0,1972.0,64.0,32807.0,2019-07-17,63
fl,10924 mobberley cir,orlando,1008600,2019-09-20,4508,-81.23211,28.36841,13939.2,5.0,5.0,2018.0,115.0,32832.0,2019-05-27,116
fl,7930 hawthorne ave,miami beach,1025000,2019-09-20,2608,-80.12882,25.86484,9000.0,4.0,2.0,1945.0,84.0,33141.0,2019-06-27,85
fl,16302 croaker rd,jacksonville,142600,2019-09-23,1534,-81.49046,30.524754,92347.2,3.0,2.0,1993.0,58.0,32226.0,2019-07-23,62
ca,6154 glen alder st,los angeles,1800018,2019-09-24,2800,-118.32311,34.11709,3546.0,4.0,5.0,1926.0,38.0,90068.0,2019-08-12,43
ca,3236 malabar st,los angeles,540005,2019-09-24,1500,-118.19331,34.04419,4082.0,3.0,2.0,1922.0,180.0,90063.0,2019-03-23,185
in,633 w state blvd,fort wayne,89900,2019-09-25,2042,-85.14962,41.09579,6450.0,3.0,2.0,1930.0,45.0,46808.0,2019-08-05,51
fl,12075 grand lakes dr,jacksonville,100,2019-09-25,1882,-81.577866,30.15166,8230.0,4.0,2.0,2003.0,30.0,32258.0,2019-08-20,36
fl,12460 n miami ave,north miami,300000,2019-09-27,1846,-80.19894,25.889519,7633.0,4.0,2.0,1950.0,41.0,33168.0,2019-08-09,49
fl,6841 sandle dr,jacksonville,241000,2019-09-27,2499,-81.75971,30.46184,20473.2,5.0,3.0,2018.0,100.0,32219.0,2019-06-11,108
in,11621 tweedsmuir run,fort wayne,300000,2019-09-27,2046,-85.292656,41.02923,12632.4,3.0,3.0,2005.0,69.0,46814.0,2019-07-12,77
co,581 emporia st,aurora,267500,2019-09-27,1040,-104.87467,39.725185,6534.0,3.0,1.0,1955.0,171.0,80010.0,2019-04-09,171
in,12595 volterra cv,fort wayne,397000,2019-09-27,3384,-85.14841,41.199226,12196.8,4.0,4.0,2014.0,7.0,46845.0,2019-09-12,15
co,8625 santa fe dr,thornton,225000,2019-09-30,1199,-104.99911,39.853703,1833.0,3.0,2.0,1968.0,15.0,80260.0,2019-09-04,26
fl,6139 native woods dr,tampa,305000,2019-09-30,2875,-82.55579,28.089264,8962.0,4.0,3.0,2000.0,169.0,33625.0,2019-04-03,180
fl,587 cloisterbane dr,saint johns,378500,2019-09-30,2616,-81.55219,30.091984,13939.2,4.0,3.0,2015.0,50.0,32259.0,2019-07-31,61
ga,3566 jackson st,college park,0,2019-10-01,1406,-84.44316,33.65788,24829.2,2.0,1.0,1945.0,2.0,30337.0,2019-09-25,6
ga,2073 cascade rd sw,atlanta,0,2019-10-02,1600,-84.45522,33.721985,21780.0,3.0,2.0,1945.0,180.0,30311.0,2019-03-24,192
fl,12066 coachman meadows dr,jacksonville,100,2019-10-02,1867,-81.501564,30.302803,8317.0,4.0,2.0,2003.0,40.0,32246.0,2019-08-10,53
fl,1318 harrison st,jacksonville,100,2019-10-03,1326,-81.64053,30.338814,6113.0,5.0,2.0,1999.0,34.0,32206.0,2019-08-16,48
fl,9034 adams ave,jacksonville,39000,2019-10-03,1104,-81.684784,30.40596,4614.0,3.0,1.0,1954.0,10.0,32208.0,2019-09-09,24
fl,12139 chippenham ct,jacksonville,235000,2019-10-04,1808,-81.49535,30.362846,8393.0,3.0,2.0,1987.0,38.0,32225.0,2019-08-12,53
ca,20021 livorno way,northridge,640006,2019-10-04,1341,-118.573494,34.28104,126759.6,3.0,3.0,2004.0,11.0,91326.0,2019-09-08,26
fl,2704 fanning springs way,orlando,376500,2019-10-05,3523,-81.14465,28.512957,7814.0,5.0,3.0,2002.0,28.0,32828.0,2019-08-22,44
co,73 n magnolia way,denver,1650000,2019-10-05,6179,-104.91193,39.717716,6000.0,5.0,6.0,2015.0,4.0,80230.0,2019-09-25,10
fl,5208 2nd st,orlando,62000,2019-10-07,1092,-81.41267,28.60515,6255.0,3.0,1.0,1950.0,73.0,32810.0,2019-07-08,91
md,7123 eastbrook ave,baltimore,151900,2019-10-07,1296,-76.52624,39.293507,1600.0,2.0,2.0,1954.0,60.0,21224.0,2019-08-21,47
fl,2643 salt lake dr,jacksonville,252000,2019-10-07,1919,-81.55667,30.3499,5488.0,4.0,3.0,2015.0,180.0,32211.0,2019-03-23,198
in,315 w packard ave,fort wayne,62000,2019-10-08,968,-85.14066,41.054855,5358.0,3.0,1.0,1925.0,22.0,46807.0,2019-08-28,41
