,Days on Market
Sqr Ft,0.18440222999296305
Longitude,-0.02874686635983325
Latitude,0.05727098553310206
Lot Size,0.030147879968113397
Beds,0.13939151627373256
Bath,0.15437022398286437
Year Built,-0.11549925607737732
Days On Trulia,0.44855532349427496
Zipcode,-0.005046700832282825
Days on Market,1.0
City_atlanta,0.005709525282760437
City_aurora,-0.012846320791288978
City_baltimore,0.2095335958130543
City_denver,-0.12026281514421955
City_fort wayne,-0.11102060890963014
City_jacksonville,-0.0008560070560340825
City_los angeles,0.11234007465866921
City_orlando,-0.07401250171829456
City_tampa,-0.0618951522905632
City_washington,0.01881512237891264
State_ca,0.11234007465866921
State_co,-0.09632653537514346
State_dc,0.01881512237891264
State_fl,-0.09743018065916334
State_ga,0.005709525282760437
State_in,-0.11102060890963014
State_md,0.2095335958130543
day_of_week_listed_Friday,-0.034298464506566526
day_of_week_listed_Monday,-0.09101245482626542
day_of_week_listed_Saturday,0.21465667301675562
day_of_week_listed_Sunday,-0.008995839789136883
day_of_week_listed_Thursday,-0.01556860194989714
day_of_week_listed_Tuesday,0.009775537135977763
day_of_week_listed_Wednesday,-0.0755708922638415
